iter	Logloss
0	0.6688136829
1	0.6476247032
2	0.6270822935
3	0.6090273348
4	0.5920335853
5	0.5778171451
6	0.563964154
7	0.5519740446
8	0.5415824469
9	0.5315158434
10	0.5230622925
11	0.5152189628
12	0.508219517
13	0.5018908493
14	0.49600412
15	0.4911436981
16	0.4863911298
17	0.4821151397
18	0.4783675716
19	0.4748713742
20	0.471420148
21	0.4689825515
22	0.4662845587
23	0.4637126242
24	0.4614196
25	0.4590768734
26	0.4573785918
27	0.4553437454
28	0.4537830617
29	0.4522308341
30	0.4509012548
31	0.4495798787
32	0.4485321437
33	0.4473512369
34	0.4462710279
35	0.4452578555
36	0.4442424788
37	0.443345363
38	0.4424829654
39	0.4417542204
40	0.4410028393
41	0.4403104898
42	0.4397191216
43	0.4390750072
44	0.4385637364
45	0.4379654064
46	0.4374623695
47	0.4370056954
48	0.4365049962
49	0.436081237
50	0.4357338316
51	0.4353672567
52	0.435025724
53	0.4346815548
54	0.434260553
55	0.4339813433
56	0.4336467265
57	0.4333404729
58	0.4330527689
59	0.4327850451
60	0.4324599789
61	0.4322314966
62	0.4320021547
63	0.4317593886
64	0.4314648833
65	0.4313037669
66	0.431111892
67	0.4309028743
68	0.4306717435
69	0.4304656172
70	0.4302486703
71	0.4300251415
72	0.4298108384
73	0.4295914842
74	0.4294492337
75	0.4292134935
76	0.4290346049
77	0.4288560996
78	0.4287051995
79	0.4285352401
80	0.4283756363
81	0.4281976184
82	0.4280429038
83	0.4278734555
84	0.4277054682
85	0.4275732465
86	0.4274494658
87	0.4273284748
88	0.4271845629
89	0.4270328141
90	0.426844772
91	0.4266982996
92	0.4265875943
93	0.426472284
94	0.4263446158
95	0.4262215787
96	0.4260989688
97	0.4259419687
98	0.4258296563
99	0.4257152979
100	0.4255777618
101	0.4254457966
102	0.4253333461
103	0.425237021
104	0.425138352
105	0.4250099031
106	0.4249109854
107	0.4247737234
108	0.4246663829
109	0.4245634001
110	0.4244605784
111	0.424343358
112	0.4242088449
113	0.424085462
114	0.4239845511
115	0.4238812856
116	0.4237685284
117	0.4236956269
118	0.4235963125
119	0.4235047206
120	0.4233805266
121	0.4232706952
122	0.423181441
123	0.4230632578
124	0.422962568
125	0.422849462
126	0.422750426
127	0.4226730427
128	0.4225832061
129	0.4224949353
130	0.4224063465
131	0.4223085379
132	0.4222069993
133	0.4221331548
134	0.4220597882
135	0.4219824163
136	0.4218832397
137	0.4218072739
138	0.4217137266
139	0.4215937596
140	0.4215221344
141	0.4214496681
142	0.4213356247
143	0.4212784543
144	0.4212153174
145	0.4211491825
146	0.4210706634
147	0.421027491
148	0.4209484231
149	0.420863417
150	0.4207860432
151	0.4206887697
152	0.4205769689
153	0.4204815348
154	0.4203914767
155	0.420304743
156	0.4202008163
157	0.4201145108
158	0.4200218354
159	0.4199454651
160	0.4198690257
161	0.419820755
162	0.4197658269
163	0.4196981309
164	0.4196001457
165	0.4195237522
166	0.4194583712
167	0.4194166182
168	0.4193291188
169	0.4192193728
170	0.4191550273
171	0.4190713708
172	0.4189948733
173	0.4189045436
174	0.4188394163
175	0.4187309849
176	0.4186462964
177	0.4185665558
178	0.4184910508
179	0.41842642
180	0.4183278688
181	0.4182752094
182	0.4181821889
183	0.4181001064
