iter	Passed	Remaining
0	58	58892
1	67	33700
2	76	25271
3	85	21203
4	94	18824
5	103	17126
6	112	15902
7	120	14901
8	129	14298
9	138	13681
10	146	13198
11	157	12950
12	168	12811
13	178	12563
14	187	12314
15	195	12023
16	203	11750
17	211	11542
18	219	11333
19	228	11193
20	237	11057
21	246	10936
22	254	10810
23	263	10705
24	271	10599
25	280	10523
26	289	10421
27	297	10328
28	305	10226
29	313	10129
30	321	10054
31	330	10006
32	338	9922
33	349	9921
34	358	9884
35	368	9856
36	376	9789
37	385	9752
38	394	9712
39	402	9660
40	411	9615
41	420	9585
42	428	9546
43	437	9515
44	446	9468
45	455	9444
46	464	9418
47	473	9384
48	482	9356
49	490	9311
50	498	9281
51	508	9264
52	517	9240
53	525	9206
54	534	9190
55	543	9168
56	553	9151
57	562	9132
58	571	9110
59	580	9090
60	589	9070
61	598	9049
62	606	9015
63	615	8996
64	624	8980
65	633	8962
66	642	8944
67	651	8926
68	660	8917
69	670	8902
70	678	8882
71	687	8865
72	696	8849
73	706	8834
74	714	8811
75	724	8811
76	734	8800
77	742	8781
78	751	8765
79	761	8756
80	770	8742
81	779	8729
82	788	8712
83	797	8694
84	806	8684
85	816	8673
86	825	8668
87	835	8661
88	843	8636
89	852	8623
90	863	8622
91	872	8610
92	879	8582
93	889	8574
94	898	8560
95	908	8553
96	918	8549
97	928	8543
98	938	8538
99	947	8525
100	956	8512
101	965	8497
102	974	8483
103	981	8454
104	990	8440
105	999	8425
106	1007	8409
107	1016	8397
108	1026	8387
109	1035	8378
110	1044	8368
111	1054	8359
112	1063	8346
113	1071	8327
114	1080	8312
115	1088	8298
116	1097	8283
117	1105	8266
118	1113	8244
119	1122	8232
120	1131	8221
121	1140	8210
122	1149	8193
123	1157	8180
124	1167	8169
125	1175	8156
126	1184	8144
127	1194	8134
128	1203	8123
129	1212	8112
130	1221	8100
131	1229	8084
132	1238	8072
133	1247	8060
134	1256	8050
135	1265	8037
136	1274	8030
137	1285	8026
138	1294	8019
139	1303	8007
140	1312	7993
141	1320	7981
142	1329	7969
143	1338	7958
144	1348	7949
145	1356	7937
146	1365	7925
147	1374	7910
148	1382	7898
149	1392	7889
150	1401	7878
151	1410	7868
152	1419	7859
153	1428	7846
154	1437	7835
155	1446	7824
156	1455	7814
157	1464	7804
158	1473	7792
159	1482	7780
160	1491	7770
161	1500	7761
162	1509	7749
163	1518	7740
164	1527	7730
165	1536	7718
166	1545	7708
167	1553	7691
168	1562	7682
169	1572	7676
170	1581	7664
171	1591	7659
172	1600	7649
173	1608	7637
174	1617	7625
175	1626	7615
176	1635	7605
177	1645	7596
178	1653	7586
179	1662	7575
180	1671	7563
181	1680	7551
182	1688	7538
183	1698	7530
184	1708	7524
185	1717	7517
186	1727	7511
187	1737	7505
188	1748	7501
189	1758	7498
190	1768	7491
191	1777	7482
192	1788	7476
193	1798	7470
194	1807	7463
195	1817	7454
196	1826	7443
197	1834	7432
198	1843	7419
199	1852	7409
200	1860	7397
201	1870	7389
202	1879	7378
203	1889	7371
204	1898	7361
205	1907	7353
206	1916	7342
207	1925	7332
208	1934	7321
209	1943	7310
210	1952	7299
211	1960	7287
212	1969	7278
213	1978	7267
214	1987	7257
215	1996	7248
216	2005	7237
217	2014	7226
218	2023	7215
219	2032	7206
220	2041	7196
221	2050	7185
222	2059	7175
223	2068	7164
224	2077	7154
225	2085	7143
226	2095	7137
227	2105	7129
228	2114	7119
229	2123	7108
230	2132	7100
231	2142	7093
232	2152	7084
233	2162	7077
234	2171	7069
235	2181	7062
236	2191	7053
237	2199	7042
238	2208	7032
239	2217	7021
240	2225	7010
241	2234	6999
242	2243	6990
243	2252	6978
244	2261	6967
245	2270	6958
246	2279	6950
247	2289	6941
248	2297	6930
249	2306	6919
250	2315	6910
251	2324	6900
252	2335	6895
253	2343	6884
254	2352	6873
255	2361	6862
256	2370	6852
257	2378	6841
258	2387	6830
259	2396	6820
260	2404	6809
261	2413	6798
262	2422	6789
263	2431	6779
264	2440	6768
265	2448	6757
266	2457	6746
267	2466	6736
268	2475	6726
269	2485	6718
270	2494	6709
271	2503	6699
272	2512	6690
273	2521	6680
274	2529	6669
275	2538	6659
276	2547	6648
277	2555	6638
278	2564	6627
279	2574	6620
280	2584	6612
281	2593	6602
282	2602	6593
283	2611	6584
284	2620	6574
285	2629	6564
286	2638	6554
287	2647	6544
288	2656	6534
289	2664	6524
290	2673	6513
291	2682	6503
292	2691	6494
293	2700	6484
294	2709	6474
295	2718	6464
296	2726	6454
297	2735	6444
298	2746	6439
299	2756	6431
300	2767	6426
301	2778	6422
302	2790	6420
303	2802	6416
304	2814	6413
305	2824	6406
306	2835	6400
307	2845	6393
308	2856	6387
309	2867	6381
310	2877	6374
311	2888	6368
312	2899	6363
313	2907	6352
314	2917	6344
315	2926	6335
316	2935	6325
317	2945	6316
318	2954	6307
319	2965	6301
320	2975	6293
321	2985	6285
322	2995	6278
323	3006	6272
324	3017	6266
325	3028	6261
326	3037	6251
327	3047	6243
328	3057	6235
329	3067	6228
330	3078	6222
331	3089	6216
332	3098	6206
333	3108	6198
334	3118	6189
335	3128	6182
336	3137	6173
337	3146	6163
338	3155	6153
339	3164	6143
340	3174	6133
341	3183	6124
342	3193	6116
343	3202	6107
344	3211	6098
345	3222	6090
346	3231	6081
347	3240	6071
348	3249	6061
349	3258	6052
350	3268	6043
351	3277	6033
352	3286	6023
353	3295	6013
354	3304	6003
355	3313	5993
356	3323	5986
357	3332	5977
358	3342	5967
359	3350	5956
360	3359	5946
361	3368	5937
362	3377	5927
363	3386	5917
364	3396	5908
365	3405	5899
366	3414	5889
367	3424	5880
368	3433	5870
369	3442	5860
370	3450	5850
371	3459	5840
372	3468	5829
373	3477	5819
374	3486	5810
375	3496	5802
376	3506	5793
377	3515	5784
378	3524	5775
379	3534	5766
380	3544	5757
381	3553	5748
382	3563	5740
383	3573	5732
384	3582	5723
385	3591	5713
386	3600	5703
387	3609	5692
388	3617	5682
389	3626	5672
390	3635	5662
391	3644	5652
392	3652	5642
393	3661	5631
394	3670	5621
395	3679	5611
396	3687	5601
397	3696	5591
398	3705	5581
399	3714	5571
400	3723	5561
401	3732	5552
402	3741	5542
403	3751	5533
404	3760	5524
